,type,Name,URL
390,Movie,Rudra: The Rise of King Pharaoh,https://www.netflix.com/in/title/81318080
391,Movie,Hope Aur Hum,https://www.netflix.com/in/title/81019924
392,Movie,Keymon and Nani in Space Adventure,https://www.netflix.com/in/title/81318082
393,Movie,Fukrey Boyzzz: Space Mein Fukrapanti,https://www.netflix.com/in/title/81290368
394,Movie,Motu Patlu in Wonderland,https://www.netflix.com/in/title/81318047
395,Movie,Pakdam Pakdai: Attack on Tokyo,https://www.netflix.com/in/title/81318073
396,Movie,Motu Patlu: Mission Moon,https://www.netflix.com/in/title/81318049
397,Movie,Bal Ganesh 3,https://www.netflix.com/in/title/81099498
398,Movie,Mahabali Bal Ganesh,https://www.netflix.com/in/title/81099505
399,Movie,Little Singham: Legend of Dugabakka,https://www.netflix.com/in/title/81291703
400,Movie,Motu Patlu in the City of Gold,https://www.netflix.com/in/title/81318064
401,Movie,Shiva: Journey to Plunotaria,https://www.netflix.com/in/title/81318077
402,Movie,Motu Patlu in Dragon's World,https://www.netflix.com/in/title/81318059
403,Movie,Pakdam Pakdai: Doggy Don in Egypt,https://www.netflix.com/in/title/81318071
404,Movie,Motu Patlu the Superheroes – Super Villains from Mars,https://www.netflix.com/in/title/81318067
405,Movie,Gattu Battu: The Secret Of Computer Chip,https://www.netflix.com/in/title/81318078
406,Movie,Little Singham Future mein Satakli,https://www.netflix.com/in/title/81291705
407,Movie,Pakdam Pakdai Space Attack,https://www.netflix.com/in/title/81318072
408,Movie,Motu Patlu Dino Invasion,https://www.netflix.com/in/title/81318065
409,Movie,Motu Patlu: Deep Sea Adventure,https://www.netflix.com/in/title/81318053
410,Movie,Motu Patlu in Octupus World,https://www.netflix.com/in/title/81318063
411,Movie,Gattu Battu vs Zaarc: The Machine Maniac,https://www.netflix.com/in/title/81318079
412,Movie,Ghatothkach (Master of Magic),https://www.netflix.com/in/title/70105456
